,time_ms,delta_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,0.0,2,3,4,5,6,7,8,9,10
1,0.57,0.57,2,3,4,5,6,7,8,9,10
2,0.9610000000000001,0.3910000000000001,2,3,4,5,6,7,8,9,10
3,1.306,0.345,2,3,4,5,6,7,8,9,10
4,1.648,0.34199999999999986,2,3,4,5,6,7,8,9,10
5,1.9919999999999998,0.34399999999999986,2,3,4,5,6,7,8,9,10
6,2.334,0.3420000000000003,2,3,4,5,6,7,8,9,10
7,2.669,0.33499999999999996,2,3,4,5,6,7,8,9,10
8,3.008,0.33899999999999997,2,3,4,5,6,7,8,9,10
9,4.619,1.6109999999999998,2,3,4,5,6,7,8,9,10
10,7.101999999999999,2.4829999999999997,2,3,4,5,6,7,8,9,10
11,9.404,2.3020000000000005,2,3,4,5,6,7,8,9,10
12,11.677999999999999,2.273999999999999,2,3,4,5,6,7,8,9,10
13,14.078,2.4000000000000004,2,3,4,5,6,7,8,9,10
14,16.029999999999998,1.9519999999999982,2,3,4,5,6,7,8,9,10
15,17.097,1.0670000000000037,2,3,4,5,6,7,8,9,10
16,18.166,1.068999999999999,2,3,4,5,6,7,8,9,10
17,19.189,1.0229999999999997,2,3,4,5,6,7,8,9,10
18,23.301,4.111999999999998,2,3,4,5,6,7,8,9,10
19,23.885,0.5840000000000032,2,3,4,5,6,7,8,9,10
20,24.233,0.347999999999999,2,3,4,5,6,7,8,9,10
21,24.570999999999998,0.3379999999999974,2,3,4,5,6,7,8,9,10
22,24.904,0.33300000000000196,2,3,4,5,6,7,8,9,10
23,25.238,0.33399999999999963,2,3,4,5,6,7,8,9,10
24,25.571,0.33300000000000196,2,3,4,5,6,7,8,9,10
25,25.903,0.3319999999999972,2,3,4,5,6,7,8,9,10
26,29.708,3.8049999999999997,2,3,4,5,6,7,8,9,10
27,32.084,2.3760000000000048,2,3,4,5,6,7,8,9,10
28,34.564,2.479999999999997,2,3,4,5,6,7,8,9,10
29,36.873000000000005,2.3090000000000046,2,3,4,5,6,7,8,9,10
30,39.019999999999996,2.1469999999999914,2,3,4,5,6,7,8,9,10
31,40.534,1.514000000000003,2,3,4,5,6,7,8,9,10
